"severity","levelId","file","code","message","details"
"severe","351","assets/LevelData/level_351.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":324}"
"severe","352","assets/LevelData/level_352.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":99}"
"severe","353","assets/LevelData/level_353.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":350}"
"severe","354","assets/LevelData/level_354.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":324}"
"severe","355","assets/LevelData/level_355.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":482}"
"severe","356","assets/LevelData/level_356.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":324}"
"severe","357","assets/LevelData/level_357.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":252}"
"severe","358","assets/LevelData/level_358.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":1024}"
"severe","359","assets/LevelData/level_359.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":1024}"
"severe","360","assets/LevelData/level_360.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":536}"
"severe","361","assets/LevelData/level_361.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":324}"
"severe","362","assets/LevelData/level_362.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":626}"
"severe","363","assets/LevelData/level_363.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":324}"
"severe","364","assets/LevelData/level_364.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":400}"
